,input,output
10,"Generate a LinkedIn post announcing a new open-source AI program in Paris by Meta, in collaboration with Hugging Face, Scaleway, STATION F, and the Incubator HEC Paris. The post should:

- Highlight Paris as the European capital of AI.
- Emphasize Meta’s pride in launching this program aimed at European start-ups.
- Mention the program’s goals of fostering innovation, market growth, and advancing the European ecosystem.
- Explain the importance of open-source for driving innovation.
- Reference the success of the initial edition of the program earlier in the year, noting the achievements of the first set of winners.
- Introduce the focus on integrating open foundation models into products.
- Include details about the program’s duration and the support from experts in AI.
- Provide the application deadline and a link for applying.
- Use relevant hashtags #OpenSourceAI #Innovation #AI #France #Europe and relevant emojis.","🥁 Paris, capitale européenne de l’IA!

🇪🇺 🤝🇫🇷 Chez Meta, nous sommes fiers d’annoncer un nouveau programme dédié à l’IA open-source à Paris pour les start-up européennes en partenariat avec Hugging Face, Scaleway, STATION F et l’Incubateur HEC Paris. Nous sommes convaincus que nous pouvons aider les développeurs et les entreprises à innover plus rapidement, à stimuler la croissance de leurs marchés et à faire progresser l'écosystème européen. L’open-source est la clé pour stimuler l’innovation à travers les écosystèmes. Une nouvelle initiative qui s’inscrit dans notre volonté de placer la France au cœur de l’innovation en matière d’IA dans l’écosystème européen !
 
🔙 Au début de l’année, 5 lauréats français ont pu bénéficier de l’accompagnement proposé par la 1re édition de ce programme. Fort de ce succès, nous sommes très heureux de dévoiler ce nouveau programme open-source qui verra éclore les successeurs européens de Jimini AI, Pollen, Qevlar AI | We're Hiring!, FRINGUANT et Toongether by Kartoon !

🌟Ce nouveau programme va permettre à 5 start-up de l’Union européenne d’intégrer des modèles de fondation ouverts dans leurs produits, afin de faire progresser l'innovation dans le domaine de l'IA. Entre septembre et février 2025, elles seront accompagnées par des experts en IA issus de chez Meta, Hugging Face et Scaleway.

Les candidatures sont ouvertes aux start-up des États membres de l'UE jusqu'au 16 août 2024 👉 fb.me/AIStartupProgram

#OpenSourceAI #Innovation #AI #France #Europe"
11,"Create a LinkedIn post that shares your deep love for theatre and how it has influenced your career, particularly in the field of AI. Mention a personal anecdote from your childhood that highlights your early exposure to theatre, such as a memorable performance in a local production. Transition into discussing how this passion has evolved over the years, including its impact on your professional life. Incorporate a recent event, such as a keynote you delivered at an industry summit, to illustrate the blend of your theatrical and technical skills. Address a common question about balancing the human element in both theatre and AI, and emphasize the importance of recognizing the human influence in technology. Share a blog post link for further reading on this topic. Conclude with a reflection on a recent theatre experience that beautifully integrated technology, providing an inspiring example of art and tech working together. Encourage your tech-oriented audience to engage with the arts to improve their craft. Finally, mention a current theatre production you recommend and include a related photo.","Something all my friends know about me is that theatre (re!) is one of the great loves of my life.

When I was 6, I got to be a ""snake"" in my town's local production of The Lion King (there were no snakes). A couple of years later, when my dad acted in a play, I got to sit back stage and marvel at the magic of it: a set could be anywhere and (with a bit of talent) you could be anyone. And those lights! 

That love of theatre grew with me, from taking classes in it to turning my keynotes into performances. The AI expert in me writes the script, but it's the thespian in me that works hard to breathe life into it (and into the audience... like the one that made the effort to come see me open the Generative AI Summit at 8:30 AM today in London - sorry it was so early, guys).

I've been asked whether I find it odd to love something so human (theatre), yet spend most of my time working on AI.

Well...



IT'S ALL HUMAN! (!!!)

If you haven't yet learned to see the human behind the AI curtain, here's a blog post for you: https://lnkd.in/e6Uckj8a

For those waiting for AGI to knock on your door and tell you to hand over the keys... one of the best skills you can develop in the AI space is spotting the human parts of the system. Those are weak points where aspirations of usefulness, objectivity, and effectiveness circle the drain, warning us to account for human elements when we design teach. Ignoring (or, worse, actively disbelieving) that AI is a way to amplify a few humans to the benefit or detriment of many is a recipe for disaster. Let's keep an eye on those humans and make sure they have the tools and help they need to create a positive impact rather than a slew of unintended whoopsies.

Technology is a tool for increasing productivity and solving previously unsolvable problems. We're tool-making apes and always have been. AI is incredible, but it's not an either/or between advancing our humanity and advancing our tools. And it's not an either or between art and tech. Plays—and the arts in general—are a beautiful place for weaving in tech to tell old stories in new ways.

I had the treat of seeing Dorian Gray recently. Bravo to both Sarah Snook's performance and the use of tech. Screens suspended above the stage showed live video being captured by camera operators on stage, while Snook changed roles and costumes (and beards) without missing a stride. From the book, you'll remember that Dorian is out of control towards the end, beautiful but depraved -- Snook whips out an iPhone and the screen above changes to selfie POV, as Snook slides the face filter up hideously to a fat-lipped bug-eyed Dorian in makeup maximum while hitting the script's crescendo. The audience was in awe. Trust me, that moment was everything theatre aspires to be.

If you're working in tech, I hope you're finding time to make or take in art of some kind. It will make our tech better.

The photo below is from Captain Amazing. If you're in London, see it. It was amazing!"
12,"Craft a LinkedIn post inspired by the following insights:

“The path to AGI looks a lot more like curing cancer than developing a vaccine” - Alexandr Wang, Scale AI CEO

Use this quote to begin the post and introduce a discussion about your perspective on AI and AGI (Artificial General Intelligence). Express your optimism towards AI and explain why you focus less on questions like ""Is AI smarter than us?"" or ""When will we have AGI?"" Instead, highlight two key areas of your interest:

1. How current AI capabilities can solve new problems.
2. How to build capabilities to steer and harness complex technology.

Refer to a recent report from Bloomberg about OpenAI's five levels to track progress towards AGI. Provide a brief overview of these levels:

- Level 1: Chatbots, AI with conversational language
- Level 2: Reasoners, human-level problem solving
- Level 3: Agents, systems that can take actions
- Level 4: Innovators, AI that can aid in invention
- Level 5: Organizations, AI that can do the work of an organization

Express your curiosity about these developments but also share your skepticism that AI progress can be confined to such a linear framework, especially with vague terms like ""aid in invention."" 

Resonate with Alexandr's perspective that achieving AGI is more akin to the iterative and challenging process of curing cancer than the straightforward development of a vaccine. Emphasize the importance of problem-solving, overcoming roadblocks, and continuous innovation. 

Conclude by asserting that as a species, our strength lies in building tools to solve problems through automation and that focusing on meaningful solutions is more exciting than the mere pursuit of creating something ""smarter"" than humans.

Include a link to hear more from Alexandr Wang and optional commentary that implies skepticism towards grand claims about AI replacing human roles in creative processes. 

Also, highlight the concept that with the right tools, humans become more capable, and position AI as just another powerful tool that scales human potential. Stress the importance of understanding the tool's user and the context of its application.","“The path to AGI looks a lot more like curing cancer than developing a vaccine” - Alexandr Wang, Scale AI CEO

I am very much an AI optimist. But I don't spend much time thinking about ""Is AI smarter than us?"" or ""when will we have AGI?""

I do, however, spend a great deal of time thinking about: 

1) How current AI capabilities can solve new problems?

and 

2) How we build capabilities to steer and harness complex technology?

Bloomberg reported yesterday that OpenAI has come up with a set of five levels to track its progress towards building AGI (link here: https://lnkd.in/e5Zg6MKM)


- Level 1: Chatbots, AI with conversational language

- Level 2: Reasoners, human-level problem solving

- Level 3: Agents, systems that can take actions

- Level 4: Innovators, AI that can aid in invention

- Level 5: Organizations, AI that can do the work of an organization

I'm curious to hear more from OpenAI, but I have doubts that AI progress will ever fit into such a linear box, especially when none of those fuzzy terms like ""aid in invention""* are properly defined (or at least properly defined for and by those who will use them most).

I more closely resonate with Alexandr's belief that the path to AGI looks more like curing cancer than building a vaccine: solving new problems, running into roadblocks, finding a way to unblock the roadblocks, running into new challenges, rinse and repeat.

We are a tool building species that has been solving problems through automation since the dawn of time. 

Focusing on what we want to solve rather than how fast we make something ""smarter"" (whatever that means*) than us feels a much more exciting and worthy goal.

You can hear more from Alexandr in the clip below: https://lnkd.in/efwJUtMY

*Pens aid in invention already, as do random number generators and AI-based grammar checkers. ""Inventors."" Pfft. There's always a human in there, they're just getting scaled bigger and bigger while the outside observer struggles to see their role in the system.
**A person with a great tool for their needs is smarter than that same person without the tool. And that's all AI is: a tool. The trick is in understanding whose tool and at what scale."
13,"Create a LinkedIn post informing users about a new feature that allows them to calculate their level of TFLOPS wealth in their HF profile settings. Ensure the tone is informative and engaging, and the message is clear and concise.","In case you missed it, you can now calculate your level of TFLOPS wealth in your HF profile settings"
14,"Generate a LinkedIn post announcing that Rana el Kaliouby, Co-Founder of Affectiva, will be a distinguished speaker at the Imagination in Action Summit at MIT on April 18th. Mention that you are excited to be at the Massachusetts Institute of Technology tomorrow, participating in a panel on embracing rapid changes in AI and giving a lightning talk on human-centric AI. Invite attendees to come up and say hello. Use hashtags like #MITforge2024 and #AI, and sign off as Imagination in Action.","Excited to announce Rana el Kaliouby, Co-Founder of Affectiva, as a distinguished speaker at the Imagination in Action Summit at MIT on April 18th! #MITforge2024 Excited to be at Massachusetts Institute of Technology tomorrow. I’m doing a panel on how to embrace the rapid changes in #AI and I’m also giving a lightening talk on human-centric AI. If you’re attending, come up and say Hello! 

Imagination in Action"
15,"Generate a LinkedIn post discussing the impact of open, accessible resources in machine learning, highlighting contributions from diverse researchers and referencing Daphne Koller's article on democratizing science in other disciplines. Mention the gratitude towards Dr. Rafael Bras for inviting to share perspectives specifically on the value of high-quality, open data sources like the UK Biobank, and include the article link (http://spkl.io/604345mE1).","The field of machine learning has seen an explosion of contributions by diverse researchers thanks to open, accessible resources reducing barriers to entry for newcomers in the field. 

insitro founder Daphne Koller shows the potential for other disciplines to follow in machine learning’s footsteps to democratize science in her Not Alone #LeadersInFocus article: http://spkl.io/604345mE1. Thanks to Dr. Rafael Bras for inviting me to share my perspective on the democratization of science, and specifically the enormous value that can be derived from the creation of high-quality data sources (such as the UK Biobank) that are open to a broad community of researchers."
16,"Generate a LinkedIn post expressing gratitude to America's veterans and highlighting the role of AI in improving their healthcare. Mention a meeting with U.S. Department of Veterans Affairs Secretary Denis McDonough, representing the Stanford Institute for Human-Centered Artificial Intelligence (HAI), and emphasize the importance of data.",We owe a debt of gratitude to America's veterans! Properly implemented AI can help advance the healthcare of our veterans. I'm thrilled U.S. Department of Veterans Affairs Secretary Denis McDonough took the time to meet with me on behalf of the Stanford Institute for Human-Centered Artificial Intelligence (HAI) and listen to my perspectives on the importance of data.
17,"Generate a LinkedIn post announcing the launch of ZenML Cloud and the extension of our seed round funding to $6.4M. Mention the new investors (Point Nine with Louis, D. Sculley, CEO of Kaggle, Harold Giménez, SVP R&D at HashiCorp, and Luke de Oliveira, ex-Director of Machine Learning at Twilio) and emphasize the mission to simplify and standardize MLOps without compromising our open-source principles. Highlight upcoming events in Austin and Silicon Valley where the product will be showcased and invite readers to book a demo or meet in person. Acknowledge the team members and existing investors (Team Yagmur, Alex, Andrei, Michael, Felix, Safoine, Barış, Stefan, Jayesh, Julian, Zuri, Alexej and Investors Crane Venture Partners with Scott, Morgane, Krishna, AIX Ventures with Richard Socher, Pieter Abbeel, Anthony Goldbloom, Christopher Manning, Shaun Johnson and Dirk Hoke, Carsten Thoma, Jim Keller, Nicolas Dessaigne, Nancy Xu, Christian Stiebner, Taimur Rashid, Demetrios Brinkmann) for their contributions. Conclude with a call to action to read more on TechCrunch, linking to the article in the comments. Use appropriate emojis and hashtags. Make sure the tone is celebratory and appreciative.","🤩 We're thrilled to announce the launch of ZenML Cloud, a major milestone in our journey, supported by our new investors Point Nine (with Louis), D. Sculley, CEO of Kaggle, Harold Giménez, SVP R&D at HashiCorp, and Luke de Oliveira, ex-Director of Machine Learning at Twilio.

This extension of our seed round to $6.4M will accelerate our mission to simplify and standardize #MLOps. It will help us continue to unlock flexibility and long-term adoption of Machine Learning, addressing the complexities of in-house ML operations - but we will keep our #opensource DNA and are not hiding the full power behind an ""OpenAPI"" 🥳

In the next two weeks, we are hitting the road! We will be in Austin and Silicon Valley, showcasing ZenML Cloud. Book a demo with us anytime or meet us in person at the MLOps World and Generative AI World in Austin, TX.

This wouldn’t have been possible without the incredible support of our Team and existing investors! 

Thank you Team Yagmur, Alex, Andrei, Michael, Felix, Safoine, Barış, Stefan, Jayesh, Julian, Zuri, Alexej and Investors Crane Venture Partners with Scott, Morgane, Krishna, AIX Ventures with Richard Socher, Pieter Abbeel, Anthony Goldbloom, Christopher Manning, Shaun Johnson and Dirk Hoke, Carsten Thoma, Jim Keller, Nicolas Dessaigne, Nancy Xu, Christian Stiebner, Taimur Rashid, Demetrios Brinkmann

Read more here and in the comments: 
TechCrunch:"
18,"Generate a LinkedIn post promoting a new short course on optimizing RAG for cost and performance. The course is named ""Prompt Compression and Query Optimization,"" it was created with MongoDB, and taught by Richmond Alake. Highlight the following key techniques taught in the course:

- Vector search for semantic matching of user queries
- Filtering using metadata for pre- and post-filtering to narrow search results
- Projections to select only necessary fields and minimize data returned
- Boosting to rerank results and improve relevance 
- Prompt compression using a small LLM to reduce token count and processing costs

Convey that these methods address scaling, performance, and security challenges in large-scale RAG applications. Include a call-to-action for sign-up with the following link: https://lnkd.in/gMVN3hzM","Learn to optimize RAG for cost and performance in our new short course, Prompt Compression and Query Optimization, created with MongoDB and taught by Richmond Alake. 

This course teaches you to combine traditional database capabilities with vector search using MongoDB for RAG. You'll learn these techniques:
- Vector search: For semantic matching of user queries
- Filtering using metadata: Pre- and post-filtering to narrow search results
- Projections: Selecting only necessary fields to minimize data returned
- Boosting: Reranking results to improve relevance
- Prompt compression: Using a small LLM to compress context, significantly reducing token count and processing costs

These methods address scaling, performance, and security challenges in large-scale RAG applications. 

You can sign up here: https://lnkd.in/gMVN3hzM"
19,"Generate a LinkedIn post announcing a new JavaScript short course on building a full-stack web application that uses RAG (Retrieval-Augmented Generation), titled ""JavaScript RAG Web Apps with LlamaIndex."" The course is taught by Laurie Voss, VP of Developer Relations at LlamaIndex and co-founder of npm. The post should include key features of the course such as:

- Building a RAG application for querying your own data
- Developing tools to interact with multiple data sources using an intelligent agent
- Creating a full-stack web app that can chat with your data
- Exploring production-ready techniques like persisting data and using the create-llama command line tool from LlamaIndex

Include a call to action with a sign-up link: https://lnkd.in/g5Q-vhDy","New JavaScript short course! Build a full-stack web application that uses RAG in “JavaScript RAG Web Apps with LlamaIndex,” taught by Laurie Voss, VP of Developer Relations at LlamaIndex and npm co-founder.  
- Build a RAG application for querying your own data 
- Develop tools to interact with multiple data sources using an agent that intelligently selects the right tool for your queries
- Create a full-stack web app that can chat with your data 
- Dig further into production-ready techniques, like how to persist your data so you aren’t constantly reindexing, and try the create-llama command line tool from LlamaIndex 
You can sign up here: https://lnkd.in/g5Q-vhDy"
20,"Generate a LinkedIn post that expresses the excitement of a recent discussion at #STATBreakthrough. Mention the participation of insitro's Daphne Koller and Novartis’ Derek Lowe, focusing on topics such as AI in drug discovery, its history, hype, challenges, and future opportunities. Also, thank STAT’s Matthew Herper for moderating the discussion. Conclude with a disclaimer stating that the content should not be considered as investment advice or an advertisement for investment services, and provide this link for more information: https://lnkd.in/gncCCPXH.","Had a great discussion at #STATBreakthrough yesterday with insitro's Daphne Koller and Novartis’ Derek Lowe about AI in drug discovery - the history, hype, challenges and massive opportunities ahead. 

Thanks to @STAT’s Matthew Herper for moderating!

None of the above should be taken as investment advice or an advertisement for investment services; please see https://lnkd.in/gncCCPXH for more information."
21,"Write a LinkedIn post in Dutch about an event that took place at RADar Learning & innovation Centre AZ Delta. The event, named TRansformers, was organized by ARhus, Stad Roeselare, and Groep Gidts vzw. Highlight the contributions of speakers Karl Dujardin, Pieter Abbeel, and Peter De Jaeger on the impact of artificial intelligence and mention that the panel discussion was moderated by Annick Ruyts. Emphasize that the event aimed to broaden perspectives and share knowledge. Include relevant hashtags such as #AI, #artificiëleintelligentie, #TRansformers, #VANRSL, #innovatie, #transformatie, and #ondernemen.","Gisteren was het verzamelen geblazen in RADar Learning & innovation Centre AZ Delta voor een nieuwe sessie van TRansformers, het netwerkevent georganiseerd door ARhus, Stad Roeselare en Groep Gidts vzw. Met bijdragen van sprekers Karl Dujardin, Pieter Abbeel en Peter De Jaeger over de impact van artificiële intelligentie, gevolgd door een panelgesprek gemodereerd door ANNICK RUYTS, deed TRansformers precies datgene waarvoor het event in het leven geroepen werd: de geesten verruimen en kennis delen. 

#AI #artificiëleintelligentie #TRansformers #VANRSL #innovatie #transformatie #ondernemen"
22,"Write a LinkedIn post expressing excitement about a new feature on Hugging Face introduced by Julien Chaumond, and thank Friedrich Stahl and Z by HP for assisting your company, statworx, in acquiring abundant GPU resources. Mention that your GPUs now provide approximately 187 TFLOPS, which matches the performance of a leading supercomputer from around 20 years ago. Use engaging emojis like 🔋, 👏, 🙌, and ⏱️.","Yes almost ""GPU rich"" 🔋 - thanks to Julien Chaumond for this enjoyable new feature on Hugging Face. 

Big shoutout to Friedrich Stahl and Z by HP for helping statworx getting GPU rich 👏🙌

Btw: our 187 TFLOPS should roughly match the performance of leading super computer ~20years ago ⏱️"
